Key,Translation,Version,Comment (context for translators)
research.robotics.robotcap16,,,
research.robotics.robotcap24,,,
research.robotics.robotcap256,,,
research.robotics.robotcap32,,,
research.robotics.robotcap48,,,
research.robotics.robotcap512,,,
research.robotics.robotcap64,,,
research.robotics.robotcap12,,,
research.robotics.robotcap96,,,
research.rogueai.root,Schurk AI,,
research.security.explosives,Explosieven,,
research.security.firesuppression,,,
research.security.turrets,,,
research.spacetravel.bridge,Brug,,
research.spacetravel.propulsionfusion,,,
research.spacetravel.shuttlemining,,,
research.spacetravel.shuttlestorage,,,
research.spacetravel.teleportation,,,
research.spacetravel.thrusterupgrade,,,
ship.not.in.one.piece.tip,,,
quest.EstablishResearch,,,
quest.EstablishResearch.desc,,,
compatible.storage,Compatibele Opslag,,
amb.color.black,Zwart,,
obj.materials.leadplate,Loden Plaat,,
obj.materials.lead,Lood,,
obj.materials.crawlergoo,,,
obj.materials.crawlergoo.desc,"Een ziekelijk, fosforescerend residu, dat een eigen leven lijkt te leiden. Zou nuttig kunnen zijn voor onderzoek.",,
obj.materials.lead.desc,,,
obj.materials.leadplate.desc,,,
research.production.root,,,
obj.materials.biofuel,Biobrandstof,,
obj.materials.biofuel.desc,,,
evt.damaged.structure.collapsed,,,
evt.damaged.structure.collapsed.desc,,,"{0} is floor or wall, {1} is location coordinate"
evt.damaged.device.exploded,,,
evt.damaged.device.exploded.desc,,,
evt.damaged.device.fire,,,
evt.damaged.device.fire.desc,,,
last.meal,Laatste Maaltijd,,
breakdown.BreakdownFoodPoisoning,,,
breakdown.BreakdownFoodPoisoning.desc,,,
act.BreakdownFoodPoisoning,,,
research.ready.to.unlock,Onderzoek klaar,,
research.ready.bookmarked,Bladwijzer Onderzoek klaar,,
research.ready.to.unlock.tip,,,{0} is number
research.ready.bookmarked.tip,,,variables are numbers
research.lacks.resource,,,{0} is resource name {1} is number
bookmark.add,Voeg Bladwijzer toe,,
bookmark.remove,Verwijder Bladwijzer,,
required.material,Vereist: {0},,
research.prerequisites.missing,,,
research.tier.locked,,,
unlock.miningautomation.desc,,,{0} will be Copter Missions translation
research.cpu.cap,,,
research.cpu.cap.desc,,,
system.scan.basic,,,
system.scan.advanced,,,
system.scan.basic.desc,,,
system.scan.advanced.desc,,,
unlocks.item,,,{0} is the name of the unlockable
item.now.available,,,
unlock.effect.wallet,,,
elysium.now.available,,,"{0} will be Stasis Array translation, {1} will be Elysium translation"
unlock.effect.robot.cap,,,
unlock.effect.robot.cap.desc,,,
unlock.effect.robot.cap.notification,,,
unlock.effect.construction.speed,,,{0} is something like x4
unlock.effect.construction.speed.desc,,,
unlock.effect.construction.speed.unlocked,,,
modifier.achievement.block.warning,,,
bot.cap.exceeded,,,
bot.cap.tip,,,
active.robots,,,
offline.robots,,,
not.enough.cpu,,,
cpu.bound.suggestion,,,
modifier.NoBotLimit,,,
modifier.NoBotLimit.desc,,,
changing.disables.achievements,,,
achievements.will.be.disabled,,,
grid.cpu.bound,,,
grid.cpu.bound.end,,,
noun.connection.limit,Aansluitingslimiet,,
grid.connection.limit.tip,Je hebt <b>{0}</b> apparaten geconnecteerd aan het elektriciteitsnet. <b>{1}</b> CPU ondersteunt tot <b>{2}</b> connecties.,,
connection.limit.exceeded,Aansluitingslimiet Overschreden,,
codex.m.electricity.connectionlimit,,,
codex.m.electricity.connectionlimit.desc,,2023-08-29,
idle.devices,,,
major.update.warning,,,
major.update.warning.desc,,,
structure.walls.wallarmored01,,,
structure.walls.wallarmored01.desc,,,
research.construction.structurearmored,,,
structure.walls.windowarmored01,,,
structure.walls.windowarmored01.desc,,,
structure.walls.wallsocketarmored01,,,
structure.walls.wallsocketarmored01.desc,,,
structure.walls.ventarmored01,Bewapende Ventilatierooster,,
structure.walls.ventarmored01.desc,Een zeer duurzaam ventilatierooster.,,
make.a.choice,Maak een keuze,,
situation.TotalGPU,Totale GPU,,
situation.Money,Geld,,
menu.tutorials,Handleidingen,,
difficulty.Beginner,Starter,,
difficulty.Intermediate,Middelmatige,,
difficulty.Advanced,Geavanceerde,,
tutorial.of.type,{0} Handleiding,,{0} will be Beginner or Intermedia or Advanced translation
end.tutorial,Einde van Handleiding,,label on a button that ends the tutorial
verb.back,Terug,,
tutorial.completed,Handleiding Beëindigd,,
tutorial.completed.info,Deze handleiding is voltooid. Je kunt dit spel zo lang blijven spelen als je wilt.,,
tut.basic.controls.name,,,
tut.basic.controls.desc,,2023-08-16,
tut.basic.controls.step.intro,,,
tut.basic.controls.step.intro.desc,,,
tut.basic.controls.step.cam,,,
tut.basic.controls.step.cam.desc,,2023-08-25,{0} and {1} are key bindings
tut.basic.controls.step.overlays.visual,,,
tut.basic.controls.vis.ov.1,,,{0} is a sentence about keyboard shortcuts
tut.basic.controls.vis.ov.1_keyboard,,,
tut.basic.controls.vis.ov.1_gamepad,,,
tutorial.click.next.when.ready,,,{0} is translation for Next or End Tutorial
tut.basic.controls.step.overlay.electricity,,,
tut.basic.controls.step.overlay.atmoo2,,,
tut.basic.controls.step.overlay.atmotemp,,,
tut.basic.controls.step.overlay.atmoo2res,,,
tut.basic.controls.step.overlay.atmotempres,,,
tut.basic.controls.step.overlay.aesthetics,,,
tut.basic.controls.step.overlay.plan,,,
tut.basic.controls.step.overlay.path,,,
tut.basic.controls.step.overlay.areas,,,
tut.basic.controls.step.overlay.islands,,2023-08-16,
tut.basic.controls.step.feedback,,2023-08-16,
tut.basic.controls.step.overlays.information.desc,,,
tut.basic.controls.step.overlays.information,,,
tut.basic.controls.step.overlay.resources,,2023-08-26,
tut.basic.controls.step.overlay.wallet,,2023-08-16,
tut.basic.controls.step.overlay.quests,,,
tut.basic.controls.step.overlay.goals,,,
tut.basic.controls.step.overlay.beings,,,
tut.basic.controls.step.overlay.eventlog,,2023-08-16,
tut.basic.controls.step.overlays.special.desc,,2023-08-16,
tut.basic.controls.step.overlays.special,,,
tut.basic.controls.step.overlay.research,Hier speel je nieuwe technologieën vrij.,,
tut.basic.controls.step.overlay.starmap,Als je schip uit één stuk bestaat en beschikt over <b>Brug Bediening</b> en <b>Motoren</b> kan het vliegen. Ruimteverkenning zal essentieel zijn voor het vinden van de nodige grondstoffen.,2023-08-19,
tut.basic.controls.step.overlay.codex,,,
tut.basic.controls.step.overlay.search,,2023-08-16,
tut.basic.controls.step.overlays.controls.desc,,,
tut.basic.controls.step.overlays.controls,,,
tut.basic.controls.step.overlay.security,,,
tut.basic.controls.step.overlay.combat,,,
tut.basic.controls.step.overlay.shipnav,,,
tut.basic.controls.step.overlay.expedition,,,
tut.basic.controls.step.overlay.copters,,,
tut.basic.controls.step.overlay.tint,,,
tut.basic.controls.step.overlay.terraform,,,
tut.basic.controls.step.events,,,
tut.basic.controls.step.events.desc,,,
tut.basic.controls.step.log,,,
tut.basic.controls.step.log.desc,,,
tut.step.select.entity,,,{0} is some device or object name
tut.step.select.entity.desc,,,{0} is device or being or object
tut.step.select.entity.expired,,,
tut.msg.target.ui.not.found,,,{0} is translation for Back
tut.msg.target.ui.udb,,,
tut.msg.target.ui.udb.desc,,,
tut.msg.target.udb.no.title.desc,,,
tut.ui.click.and.drag,,,
tut.basic.controls.step.dev.manage,,,
tut.basic.controls.step.dev.manage.desc,,2023-08-16,
tut.basic.controls.step.dev.select,,,
tut.basic.controls.step.dev.manage.submenu,,,
tut.basic.controls.step.dev.manage.submenu.desc,,2023-08-16,
tut.basic.controls.step.deselect,,,
tut.basic.controls.step.deselect.desc,,2024-07-02,{0} is a key binding
tut.basic.controls.step.context.menu.1,,,
tut.basic.controls.step.context.menu.1.desc,,2023-08-16,{0} is a key binding
tut.basic.controls.step.context.menu.2,,,
tut.basic.controls.step.context.menu.2.desc,,2023-08-14,
tut.basic.controls.step.context.menu.3.desc,,2024-07-02,{0} is a key binding
tut.basic.controls.tools,,,
tut.basic.controls.tools.desc,,,
tool.menu.type,Menu Type,,
tool.menu.type.radial,Radiaal Menu,,
tool.menu.type.grid,Rooster Menu,,
hotbar.add.tip,,2023-08-16,{0} and {1} is a key binding
hotbar.ctrl.tip,,2023-08-16,{0} and {1} is a key binding
search.placeholder,Typ hier om te zoeken,,
adjective.recent,Recent,,
datoid.available.vs.owned.tip,,,
def.unlock.tip,,,{0} is the technology name. this message is displayed in a tooltip of a locked item.
tut.basic.controls.step.overlay.skip.tip,,,{0} is a key binding
tut.skip.group,,,{0} is the group name
tut.basic.controls.step.grid.menu.1,,,
tut.basic.controls.step.grid.menu.1.desc,,,
tut.basic.controls.step.grid.menu.2,,2023-08-16,
tut.basic.controls.step.grid.menu.2.desc,,2023-08-16,
getting.food.in.dangerous.loc,,,{0} is a coordinate
failed.to.find.path.to.safety,,,{0} is a coordinate
tut.basic.controls.step.tools.place_tiles,,,
tut.basic.controls.step.tools.connect,,,
tut.basic.controls.step.tools.repair,,,
tut.basic.controls.step.tools.store,,,
tut.basic.controls.step.tools.process,,,
tut.basic.controls.step.tools.remove_tiles,,,
tut.basic.controls.step.tools.ads_cancel,,,
tut.basic.controls.step.tools.ads_retry,,,
tut.basic.controls.step.tools.manage_ads,,,
tut.basic.controls.step.tools.copy_config,,,
tut.basic.controls.step.tools.plan,,,
tut.basic.controls.step.tools.skip.tip,,,
toggle.button.size,,2023-08-16,
tut.basic.controls.step.tool.build.1,,,{0} is the tool name
tut.basic.controls.step.tool.build.2,,,
tut.basic.controls.step.tool.build.3,,,{0} is the tab label {1} is the device name
tut.step.place.tile.with.rot.desc,,,{0} and {2} is key binding. {1} is device name
tut.step.place.tile.desc,,,{0} is an device name
tut.step.place.tile,,,{0} is an device name
tut.step.expired,,,
tut.basic.controls.step.tool.build.4,,,{0} and {1} are key bindings
tut.basic.controls.step.connect.1,,2023-08-16,{0} is tool name. {1} is key binding
tut.basic.controls.step.connect.2,,,{0} is device name. {1} is connector device name. {2} is key binding
tut.basic.controls.step.connect.3,,2023-08-16,{0} is key binding {1} and {2} are device names
tut.basic.controls.step.connect.4,,2023-08-16,{0} is tool name
tut.basic.controls.step.connect.5,,,{0} is key binding. {1} is tool name
tut.connecting.teleporters,,,
choice.or,,,{0} and {1} will be some arbitrary things like shortcut keys or two item names
tut.basic.controls.step.repair.1,,,{0} is Oxygen translation
tut.basic.controls.step.repair.2,,,{0} is a translation for Window structure
tut.basic.controls.step.repair.3,,2023-08-16,{0} is key binding {1} is tool name
tut.basic.controls.step.repair.4,,2023-08-16,{0} is key binding
tut.basic.controls.group.examining.objects,,,
tut.basic.controls.step.deconstruct.1,,,{0} is key binding
tut.basic.controls.step.deconstruct.2,,2023-08-16,
tut.basic.controls.step.deconstruct.3,,,
tut.basic.controls.relocate.1,,,
tut.basic.controls.relocate.2,,,{0} is key binding
tut.basic.controls.relocate.3,,2023-08-16,{0} is key binding
tut.basic.controls.relocate.4,,,
tut.basic.controls.quick.search.1,,2023-08-18,{0} is key binding
tut.basic.controls.quick.search.2,,,{0} is key binding. {1} is device name. {2} will be first few characters of device name
tut.basic.controls.quick.search.3,,,
tut.basic.controls.end,,2023-08-18,{0} is something like: hold CTRL for more info
tut.research.name,Onderzoek,,
tut.research.desc,Leer de concepten van Onderzoek.,,
tool.menu.recent.desc,Bevat een lijst van recent gebruikte blauwdrukken.,,
tut.research.intro.desc,,,
tut.research.end,,,
tut.research.open.tree,,,{0} is key binding
tut.research.tree.nav,,,
tut.research.tree.nav.desc,,,{0}{1}{2} is key binding
tut.research.tree.nav.gamepad,,,{0}{1} is key binding
verb.scroll,,,As in Mouse Scroll
tut.research.tree.find.element,,,{0} is tech name. {1} is key binding
tut.research.tree.find.element.gamepad,,,{0} is tech name.
tut.research.tree.node,,,
tut.research.tree.node.cost.datoids,,,
tut.research.tree.node.cost.tier,,,
tut.research.tree.node.cost.disk,,,
tut.research.tree.node.bookmark,,,
tut.research.tree.node.bookmarks,,,
tut.research.tree.node.unlock,,,
tut.research.tree.info,,,
tut.research.tree.info.desc,,,
tut.research.tree.info.disk,,,{0} is key binding
tut.research.tree.info.datoids,,,
tut.research.tree.info.management,,,{0} is key binding
tut.research.unstored.datoid,,2023-08-18,
tut.obj.not.found,,,
tut.obj.no.longer.available,,,
tut.start.building.def,,,{0} is key binding. {1} is device name
tut.waiting.for.construction,,,{0} is device name
tut.research.datoid.load.wait,,,
tut.research.datoid.unstored,,,
tut.research.datoid.load.wait.desc,,,{0} is tool name
tut.research.datoid.load.ready,,,
tut.research.unlock.tech,,,{0} is tech name
tut.research.unlock.tech.desc,,,
tut.research.tree.group,,,
tut.research.after.first.unlock,,,{0} is tech name
tut.research.unlocked.tech,,,{0} is tech name
tut.research.datoids.howto.1,,,{0} is a translation for Basic Datoid
tut.research.datoids.howto.2,,,{0} is a translation for Basic Datoid {1} is translation for Basic Data Harvester/ {2}[3} are bindings
tut.research.datoids.howto,,,
tut.switch.tool.no.shortcut,,,{0} is key binding. {1} is tool name
tut.switch.tool.with.shortcut,,,{0} is key binding. {1} is tool name {2} is binding
tut.switch.tool.title,,,{0} is tool name
tut.connect.device,,,{0} is device name
tut.connect.device.freestyle.desc,,,{0} is tool name. {1} is device name
tut.connect.device.constrained.desc,,2023-08-23,{0} is key binding. {1} and {2} is device name
tut.configure,,,{0} is device name
tut.exit.tool,,,{0} is key binding
tut.configure.crafter.product,,,{0} is product name
tut.research.tree.node.unlockables,,,
tut.research.tree.node.unlockables.desc,,,
tut.build.not.expected,,,{0} is device name
tut.research.disk.1,,,{0} s device name
tut.research.disk.2,,,{0} is device name {1} is key binding
tut.research.disk.2.gamepad,,,{0} is device name {1} is key binding. {2} is translation for Search
tut.research.disk.3,,,{0} is device name. {1} is key binding
tut.research.disk.4,,,{0} is device name. {1} is button label
tut.research.disk.5,,,{0} and {1} are key bindings
tut.research.disk.3.hint,,,{0} is a tech name
tut.research.outro,,,{0} is a tech name
available.material,,,
tut.el.title,,,
tut.el.desc,,,
tut.el.intro,,,
tut.el.end,,2023-08-23,
tutorial.header,,,{0} is the name of tutorial the player is playing
tut.el.no.grid,,,
tut.open.overlay.to.continue,,,
tut.el.overlay.1,,2023-08-23,
tut.overlay.title,,,
tut.el.small.grid.1,,,
tut.el.small.grid.2,,,
tut.el.small.grid.3,,,
tut.el.small.grid.4,,,
tut.el.small.grid.title,,,
tut.el.small.grid.5,,,
tut.el.small.grid.6,,,
tut.el.refuel.1,,,
tut.el.refuel.2,,,
tut.el.overlay.3,,,
tut.el.overlay.4,,,
tut.el.overlay.5,,2023-08-23,
tut.el.refuel.title,,,
research.cannot.unload.unlock.effects,,,
tut.el.grid.merge.title,,,
tut.el.grid.merge.1,,,
tut.el.grid.merge.2,,,
tut.el.grid.merge.3,,,
tut.el.grid.merge.4,,,
tut.el.grid.merge.5_1,,,
tut.el.grid.merge.5_2,,2023-08-29,
tut.el.grid.merge.5_3,,,
tut.el.grid.merge.5_4,,,
tut.el.grid.merge.6,,,
tut.el.grid.merge.7,,,
tut.el.grid.merge.5.title,,,
tut.el.bots.maintain.title,,,
tut.el.bots.maintain.1,,,
tut.el.bots.maintain.2,,,
tut.el.bots.maintain.3,,2023-08-26,
click.to.continue.setup,,,
tut.el.deficit.1,,,
tut.el.deficit.1_2,,,
tut.el.deficit.2,,,"{0} is the color code, do not move it away from <color={0}>"
tut.el.deficit.2_2,,,
tut.el.deficit.3,,,
tut.el.deficit.4,,,
tut.el.deficit.title,,,
ad.rej.would.get.stuck,,,
tut.deselect.objects,,,
grids.managed,,,
grids.unmanaged,,,
distance.to,,,
tut.winch.title,,,
tut.winch.desc,,,{0}{1}{2} are device names
tut.winch.intro,,,
tut.winch.end,,,
tut.winch.step1_1,,,
tut.winch.step1_2,,,
tut.winch.step1_3,,,
tut.winch.step1_4,,,
tut.winch.success,,,
tut.winch.step2_1,,,
tut.winch.step2_2,,,
tut.winch.step2_4,,,
tut.winch.patch.1,,,
tut.winch.patch.2,,,
tut.winch.step3_1,,,
tut.winch.step3_2,,,
tut.winch.step4_1,,,
tut.winch.step4.title,,,
tut.winch.step5.title,,,
tut.winch.step5_1,,,
tut.winch.step5_2,,,
tut.winch.step5_2_2,,,
tut.winch.step5_3,,,
tut.build.floor.in.area,,,
tut.winch.step5_4,,,
tut.winch.step5_5,,,
tut.winch.step5_6,,,
tut.winch.step5_7,,,
tut.winch.step5_8,,,
tut.winch.step5_9,,,
tut.winch.step5_10,,,
tut.step.relocate,,,
tut.step.relocate.workspot,,,
tut.step.relocate.waiting,,,
